,duration_bin,games_played,wins,hero_id
985,3000,517,240,48
986,4200,23,7,48
987,4500,12,4,48
988,1200,1915,1032,48
989,2700,772,352,48
990,5100,1,1,48
991,2100,2379,1233,48
992,5400,1,1,48
993,900,714,390,48
994,600,152,79,48
995,2400,1452,696,48
996,3600,113,52,48
997,1500,3315,1802,48
998,4800,7,3,48
999,3300,318,160,49
1000,1800,3879,1909,49
1001,3900,104,57,49
1002,300,30,12,49
1003,6000,1,0,49
1004,3000,763,395,49
1005,4200,44,16,49
1006,4500,24,12,49
1007,1200,2118,1031,49
1008,2700,1088,511,49
1009,5100,5,5,49
1010,6900,1,0,49
1011,2100,2825,1459,49
1012,5400,1,0,49
1013,900,784,378,49
1014,600,197,104,49
1015,2400,1990,985,49
1016,3600,185,88,49
1017,1500,3312,1587,49
1018,4800,16,8,49
1019,3300,393,199,50
1020,7500,1,0,50
1021,1800,2774,1399,50
1022,3900,103,44,50
1023,300,43,19,50
1024,6000,1,0,50
1025,3000,670,346,50
1026,4200,68,28,50
1027,6600,1,0,50
1028,4500,32,12,50
1029,1200,1986,1019,50
1030,2700,941,445,50
1031,5100,9,3,50
1032,6900,1,1,50
1033,2100,2166,1100,50
1034,5400,3,2,50
1035,900,1047,566,50
1036,6300,1,0,50
1037,600,284,129,50
1038,2400,1519,752,50
1039,3600,215,98,50
1040,1500,2724,1412,50
1041,4800,13,8,50
1042,5700,5,2,51
1043,3300,725,379,51
1044,7500,2,0,51
1045,1800,5093,2628,51
1046,3900,177,88,51
1047,300,44,24,51
1048,6000,4,1,51
1049,3000,1198,610,51
1050,4200,110,52,51
1051,6600,3,2,51
1052,7800,1,1,51
1053,4500,48,24,51
1054,1200,2660,1372,51
1055,2700,1932,945,51
1056,5100,16,7,51
1057,6900,1,1,51
1058,2100,3957,2014,51
1059,5400,4,3,51
1060,900,1004,546,51
1061,6300,3,2,51
1062,12000,1,0,51
1063,600,240,136,51
1064,2400,3084,1539,51
1065,8400,1,1,51
1066,3600,355,192,51
1067,1500,4309,2192,51
1068,4800,28,18,51
1069,5700,1,1,52
1070,3300,364,197,52
1071,1800,3647,1890,52
1072,3900,94,49,52
1073,300,38,28,52
1074,3000,788,413,52
1075,4200,41,21,52
1076,7800,1,0,52
1077,4500,24,16,52
1078,1200,2277,1286,52
1079,2700,1103,541,52
1080,5100,4,3,52
1081,2100,2742,1412,52
1082,5400,2,1,52
